Project,Client,Description,Duration
SOS2122-22,,#10 Trabajo individual F03 marsaamar1,03:21:47
SOS2122-22,,#11 Tareas individuales F04 marsaamar1,03:04:39
SOS2122-22,,#12 Tareas individuales F04,05:24:49
SOS2122-22,,#13 Tarea Individual belrodsal F04,03:04:44
SOS2122-22,,#14 Tareas individuales F05 marsaamar1,03:53:05
SOS2122-22,,#15 Cambio enlaces de recursos en Readme.md,00:31:27
SOS2122-22,,#16 Actualización index.html,00:12:29
SOS2122-22,,#17 Tareas Individuales F05 jesvencam,02:09:00
SOS2122-22,,#2 ISSUE1,00:00:16
SOS2122-22,,#27 Tareas Individuales F06 jesvencam,00:50:31
SOS2122-22,,#28 Tareas Individuales F06 belrodsal,46:25:16
SOS2122-22,,#29 Tareas Individuales F06 belrodsal,02:00:00
SOS2122-22,,#3 configuración toggl,00:02:53
SOS2122-22,,#31 Tareas f07 JESVENCAM,01:33:02
SOS2122-22,,#35 Tareas F08 jesvencam,03:44:41
SOS2122-22,,#36 Tareas F08 belrodsal,00:00:09
SOS2122-22,,#38 Tareas F08 marsaamar1,734:52:32
SOS2122-22,,#4 Tareas individual F02 jesvencam,00:13:58
SOS2122-22,,#42 F09 jesvencam,00:59:35
SOS2122-22,,#45 Añadido grafo del grupo y grafico individual de jesus,03:03:25
SOS2122-22,,#47 D03 jesvencam,11:37:03
SOS2122-22,,#5 Tarea Individual belrodsal,00:10:39
SOS2122-22,,#51 D03 marsaamar1,31:42:28
SOS2122-22,,#6 Tareas individuales F02 marsamar1 ,00:20:17
SOS2122-22,,#7 Crear etiquetas,00:03:16
SOS2122-22,,#8 Trabajo individual F03,03:10:43
SOS2122-22,,#Tarea Individual F05 belrodsal,03:13:41
SOS2122-22,,HACER L02,00:00:00
SOS2122-22,,,00:00:00
,,#35 Tareas F08 jesvencam,00:00:02
,,#9 Actividades F03,14:43:39
,,#9 Actividades F04,00:04:14
,,Final SOS belrodsal,03:00:00
,,sos,00:00:01
,,SOS belrodsal,04:44:57
,,Últimos requisitos belrodsal,01:19:36
,,,08:19:05
